Item ID,Item meta,Has NBT,Display Name
1,0,false,Stone
2,0,false,Grass Block
3,0,false,Dirt
4,0,false,Cobblestone
5,0,false,Oak Wood Planks
5,1,false,Spruce Wood Planks
5,2,false,Birch Wood Planks
5,3,false,Jungle Wood Planks
6,0,false,Oak Sapling
6,1,false,Spruce Sapling
6,2,false,Birch Sapling
6,3,false,Jungle Sapling
8,0,false,Water
9,0,false,Water
10,0,false,Lava
11,0,false,Lava
12,0,false,Sand
13,0,false,Gravel
14,0,false,Gold Ore
15,0,false,Iron Ore
16,0,false,Coal Ore
17,0,false,Oak Wood
17,1,false,Spruce Wood
17,2,false,Birch Wood
17,3,false,Jungle Wood
18,0,false,Oak Leaves
18,1,false,Spruce Leaves
18,2,false,Birch Leaves
18,3,false,Jungle Leaves
19,0,false,Sponge
20,0,false,Glass
21,0,false,Lapis Lazuli Ore
22,0,false,Lapis Lazuli Block
23,0,false,Dispenser
24,0,false,Sandstone
24,1,false,Chiseled Sandstone
24,2,false,Smooth Sandstone
25,0,false,Note Block
27,0,false,Booster Track
28,0,false,Detector Track
29,0,false,Sticky Piston
30,0,false,Cobweb
31,1,false,Grass
31,2,false,Fern
32,0,false,Dead Bush
33,0,false,Piston
35,0,false,Wool
35,1,false,Orange Wool
35,2,false,Magenta Wool
35,3,false,Light Blue Wool
35,4,false,Yellow Wool
35,5,false,Lime Wool
35,6,false,Pink Wool
35,7,false,Gray Wool
35,8,false,Light Gray Wool
35,9,false,Cyan Wool
35,10,false,Purple Wool
35,11,false,Blue Wool
35,12,false,Brown Wool
35,13,false,Green Wool
35,14,false,Red Wool
35,15,false,Black Wool
37,0,false,Flower
38,0,false,Rose
39,0,false,Mushroom
40,0,false,Mushroom
41,0,false,Block of Gold
42,0,false,Block of Iron
43,0,false,Stone Slab
43,1,false,Sandstone Slab
43,2,false,Wooden Slab
43,3,false,Cobblestone Slab
43,4,false,Bricks Slab
43,5,false,Stone Bricks Slab
43,6,false,Nether Brick Slab
43,7,false,Quartz Slab
43,8,false,Stone Slab
43,9,false,Stone Slab
43,10,false,Stone Slab
43,11,false,Stone Slab
43,12,false,Stone Slab
43,13,false,Stone Slab
43,14,false,Stone Slab
43,15,false,Stone Slab
44,0,false,Stone Slab
44,1,false,Sandstone Slab
44,3,false,Cobblestone Slab
44,4,false,Bricks Slab
44,5,false,Stone Bricks Slab
44,6,false,Nether Brick Slab
44,7,false,Quartz Slab
45,0,false,Bricks
46,0,false,TNT
47,0,false,Bookshelf
48,0,false,Moss Stone
49,0,false,Obsidian
50,0,false,Torch
51,0,false,Fire
53,0,false,Oak Wood Stairs
54,0,false,Chest
56,0,false,Diamond Ore
57,0,false,Block of Diamond
58,0,false,Crafting Table
60,0,false,Farmland
61,0,false,Furnace
65,0,false,Ladder
66,0,false,Track
67,0,false,Stone Stairs
69,0,false,Lever
70,0,false,Pressure Plate
72,0,false,Pressure Plate
73,0,false,Redstone Ore
76,0,false,Redstone Torch
77,0,false,Button
78,0,false,Snow
